भीतिश्च,:भीतिः,च,
भूमिमयाचत।,:भूमिम्,अयाचत।,
प्रसिद्धमभवत्।,:प्रसिद्धम्,अभवत्।,
अनन्तरमेव,:अनन्तरम्,एव,
हरिभक्तिमुपदिष्टवान्।,:हरिभक्तिम्,उपदिष्टवान्।,
इत्यवदत्।,:इति,अवदत्।,
नारदस्तु,:नारदः,तु,
लग्नमस्ति,:लग्नम्,अस्ति,
तच्छ्रुत्वा,:तत्,श्रुत्वा,
अनुभवन्नपि,:अनुभवन्,अपि,
शिवपञ्चाक्षरीमुपदिष्टवान्।,:शिवपञ्चाक्षरीम्,उपदिष्टवान्।,
बाल्यादेव,:बाल्यात्,एव,
उपबर्हणमाहूतवान्।,:उपबर्हणम्,आहूतवान्।,
सभामर्यादामपालयन्,:सभामर्यादाम्,अपालयन्,
ममाभीष्टेन,:मम,अभीष्टेन,
जानन्त्येव।,:जानन्ति,एव।,
शरणमागताः।,:शरणम्,आगताः।,
वर्षसहस्रमेव,:वर्षसहस्रम्,एव,
अवशिष्टमस्ति।,:अवशिष्टम्,अस्ति।,
तदिदानीं,:तत्,इदानीं,
सार्थकमकरोत्।,:सार्थकम्,अकरोत्।,
ब्रह्मशापमनुभूय,:ब्रह्मशापम्,अनुभूय,
करोत्विति,:करोतु,इति,
महदनर्थकं,:महत्,अनर्थकं,
वचनमङ्गीकरोतु,:वचनम्,अङ्गीकरोतु,
तदङ्गीकृतवान्।,:तत्,अङ्गीकृतवान्।,
दिव्यस्वरूपमपश्यत्।,:दिव्यस्वरूपम्,अपश्यत्।,
बहुप्रयत्नानन्तरमपि,:बहुप्रयत्नानन्तरम्,अपि,
परिवर्तयितुमशक्ताः,:परिवर्तयितुम्,अशक्ताः,
ऋषेर्वचनं,:ऋषेः,वचनं,
तावुभौ,:तौ,उभौ,
स्वयंवरमागच्छन्तु।,:स्वयंवरम्,आगच्छन्तु।,
स्वयंवरमण्डपमागतौ।,:स्वयंवरमण्डपम्,आगतौ।,
स्वयंवरमागतवान्।,:स्वयंवरम्,आगतवान्।,
हन्तुमुद्युक्तौ,:हन्तुम्,उद्युक्तौ,
बहुदूरमनयत्।,:बहुदूरम्,अनयत्।,
पत्नीवियोगमनुभूतवान्।,:पत्नीवियोगम्,अनुभूतवान्।,
पूर्वमुक्तवान्,:पूर्वम्,उक्तवान्,
इदानीमहङ्कारं,:इदानीम्,अहङ्कारं,
इत्यवदत्।,:इति,अवदत्।,
ममैव,:मम,एव,
भवितुमहं,:भवितुम्,अहं,
इत्यवदत्।,:इति,अवदत्।,
विवाहमकारयत्।,:विवाहम्,अकारयत्।,
